class,u,g,r,i,z,redshift
GALAXY,19.19971,17.22391,16.29199,15.85335,15.48367,0.04954444
GALAXY,18.94325,17.02095,16.06735,15.63387,15.28098,0.08937013
GALAXY,18.88838,17.88406,17.42734,17.12453,16.98339,0.08640119
STAR,19.3652,18.1399,17.65534,17.4715,17.37664,6.53E-05
GALAXY,19.46207,17.81834,17.01301,16.617,16.31902,0.07104074
GALAXY,18.34066,16.5023,15.64826,15.26125,14.95627,0.07053274
GALAXY,18.86362,17.87739,17.46657,17.17367,17.04404,0.06982873
GALAXY,17.7933,16.90408,16.6164,16.30378,16.30438,0.08875664
GALAXY,19.14158,17.99588,17.53081,17.2301,17.13721,0.1066131
GALAXY,19.17263,18.06068,17.6305,17.33272,17.2204,0.08685333
STAR,18.57808,17.38363,17.39016,17.42856,17.48906,0.000784398
QSO,19.13297,18.72812,18.69815,18.67673,18.45058,2.270286
QSO,19.22582,18.9224,18.81053,18.69143,18.74117,1.452307
GALAXY,19.15242,17.42991,16.57173,16.15933,15.85434,0.08845632
GALAXY,18.28101,17.18856,16.70175,16.33173,16.14626,0.08813617
STAR,19.18844,18.75792,18.86976,19.02108,19.25434,5.59E-05
GALAXY,19.14205,17.96772,17.45321,17.09447,16.88161,0.088566
GALAXY,18.92986,17.92031,17.41597,17.12756,17.03521,0.1484416
STAR,18.6924,17.7664,17.48753,17.38595,17.35225,0.000224824
GALAXY,18.3738,16.84218,16.10014,15.71413,15.41793,0.04749686
STAR,19.03027,17.92062,17.54537,17.40652,17.39518,-1.12E-05
GALAXY,17.92943,16.42391,15.79249,15.47063,15.23182,0.02614107
STAR,17.619,16.61343,16.47639,16.42638,16.43867,0.000308748
STAR,16.85941,15.83554,15.77641,15.7712,15.82794,0.000129414
STAR,16.88578,15.99562,15.6586,15.51201,15.47617,2.77E-06
STAR,15.85837,14.6398,14.627,14.65232,14.71224,0.000106044
QSO,18.11682,17.77947,17.87333,17.7141,17.67043,0.5148025
GALAXY,19.47647,17.61476,16.68962,16.23929,15.87438,0.07854678
GALAXY,18.14094,16.32733,15.41508,14.97462,14.65088,0.07823353
GALAXY,19.19459,18.31113,18.09644,17.83205,17.75919,0.05310636
GALAXY,19.53265,18.15082,17.43013,17.02216,16.7586,0.0927506
GALAXY,19.31942,17.36549,16.37918,15.92805,15.55104,0.09100784
STAR,17.15698,16.04984,15.6602,15.51096,15.47703,-4.70E-05
QSO,19.13015,18.99829,18.69307,18.62844,18.67269,1.244108
GALAXY,19.47384,18.02314,17.21636,16.78238,16.43555,0.1155662
GALAXY,17.14729,15.85645,15.21062,14.84574,14.52751,0.02707425
GALAXY,18.77788,17.11622,16.37415,15.98126,15.68712,0.03762654
GALAXY,19.13621,17.95535,17.33129,16.9772,16.74717,0.1425752
GALAXY,18.90994,17.66969,16.9995,16.62222,16.35383,0.08791664
STAR,15.62121,14.60897,14.43487,14.40072,14.45437,0.00010314
GALAXY,19.23039,18.06944,17.59436,17.23812,17.09449,0.07908808
GALAXY,18.81291,17.77027,17.30868,16.95996,16.8011,0.07006504
GALAXY,19.0146,17.33462,16.45423,16.02605,15.67589,0.08909858
QSO,17.92018,17.92471,17.884,17.62558,17.53486,1.771222
GALAXY,17.80781,16.93552,16.67188,16.47706,16.3433,0.02961222
GALAXY,18.23204,16.45568,15.63056,15.19764,14.8788,0.06956718
STAR,18.49833,17.49403,17.33157,17.28345,17.28941,0.000322833
GALAXY,18.92958,16.90914,15.78403,15.31554,14.93797,0.131564
STAR,19.07301,18.11891,17.76631,17.65374,17.60394,-0.000162314
GALAXY,19.15065,17.36285,16.52798,16.15387,15.80557,0.10632
GALAXY,18.13147,17.3532,16.93616,16.56829,16.44423,0.1072231
GALAXY,18.54219,17.49083,17.07087,16.71762,16.57594,0.1070803
QSO,19.53852,19.139,18.55866,18.17328,17.99881,0.1572411
QSO,19.25762,19.24938,18.9753,18.88568,18.91675,1.335835
STAR,17.89052,16.98527,16.73305,16.63174,16.61334,7.54E-05
GALAXY,18.71479,16.97454,16.38521,16.12513,15.90649,0.106216
STAR,18.95637,17.97179,17.80977,17.76273,17.78803,0.000359946
STAR,18.25347,17.34355,17.12577,17.02307,16.96043,0.000522862
QSO,19.26136,19.1851,18.9592,18.88952,18.86333,1.330196
STAR,16.41278,14.86871,14.31287,14.10415,13.98788,-0.000120691
QSO,19.05024,19.09565,19.19766,18.90488,18.8281,1.895719
STAR,18.97832,18.10239,17.81904,17.71502,17.695,0.000433085
STAR,18.70031,17.83492,17.57053,17.45308,17.40799,-6.92E-05
GALAXY,19.59163,17.81984,16.84598,16.44592,16.10031,0.1062806
STAR,16.0238,15.09469,14.80986,14.6965,14.6701,0.000477176
STAR,15.1353,13.94085,13.94638,14.00164,14.03319,0.000413841
STAR,16.37136,14.76484,14.22739,14.07195,13.9889,-7.29E-05
STAR,18.76134,17.27291,16.74922,16.59132,16.47496,-0.000172935
STAR,17.72557,16.5077,16.11247,15.97783,15.92708,4.18E-05
STAR,17.70918,16.77318,16.49644,16.38192,16.34623,0.000645126
STAR,17.79889,16.90706,16.53008,16.38745,16.30119,0.000777288
STAR,19.42352,18.08814,17.5851,17.41209,17.34603,0.000105949
STAR,19.49485,17.74386,16.93079,16.61019,16.40522,0.000220751
GALAXY,19.10102,17.89368,17.17626,16.78514,16.47559,0.1560981
GALAXY,19.08999,17.87979,17.30001,16.91738,16.72677,0.07909836
GALAXY,16.32657,14.79158,14.1052,13.75229,13.46165,0.02549985
STAR,19.58891,18.64184,18.49889,18.46553,18.45593,-0.000120104
GALAXY,19.20085,18.08511,17.69779,17.42061,17.29814,0.04204269
STAR,18.91914,18.02611,17.80632,17.71907,17.72131,0.000557983
STAR,17.6936,16.32069,15.80393,15.6132,15.53206,0.000325267
STAR,18.35066,17.41139,17.18135,17.08709,17.08965,-3.05E-05
STAR,18.0996,17.1742,16.83233,16.70185,16.66806,0.000185148
STAR,16.38773,14.9501,14.43486,14.2691,14.19747,-4.30E-05
STAR,18.9836,17.52731,16.99701,16.7796,16.66278,8.97E-05
STAR,16.91041,15.45433,14.85858,14.64869,14.53447,8.83E-05
QSO,18.26847,17.98774,17.77489,17.65078,17.51534,1.974752
STAR,17.09046,15.47887,14.81628,14.52759,14.37151,3.88E-05
STAR,18.92344,17.86703,17.40125,17.19161,17.12352,0.000351364
STAR,18.54043,17.63641,17.35255,17.25576,17.17422,8.27E-05
STAR,19.03382,18.15575,17.95118,17.86144,17.88585,0.000480309
STAR,18.71259,16.32915,15.08869,14.58182,14.27226,-5.95E-06
STAR,18.81766,17.49303,16.91854,16.68079,16.58296,-0.000470792
STAR,18.57371,17.7188,17.39374,17.28585,17.26827,0.000180701
STAR,17.40626,15.87684,15.26237,15.03957,14.92599,-8.99E-05
STAR,19.53823,17.69941,16.98525,16.67076,16.4375,0.000759523
STAR,18.04444,16.12702,15.44266,15.23283,15.12825,4.77E-05
STAR,18.55765,16.35182,15.45455,15.0802,14.85069,8.09E-05
STAR,16.80133,15.34514,14.81955,14.64411,14.58058,-7.73E-05
STAR,17.43725,15.98773,15.43505,15.24584,15.17689,-6.67E-05
GALAXY,18.78979,17.4279,16.68736,16.28967,15.9906,0.1129216
STAR,17.09137,15.98284,15.62553,15.50242,15.46309,3.34E-05
STAR,18.86026,17.2778,16.66154,16.42111,16.29518,0.000289836
STAR,18.91458,17.97609,17.69784,17.55495,17.49273,0.000308735
STAR,17.00254,15.35527,14.73952,14.50755,14.40796,1.47E-05
STAR,17.17881,15.56593,14.90381,14.66557,14.54323,4.90E-05
STAR,18.60262,17.07502,16.49357,16.32896,16.27352,4.41E-05
GALAXY,19.05238,17.92345,17.28963,16.89301,16.65988,0.1602088
STAR,19.39531,17.49907,16.76746,16.5326,16.40905,5.94E-05
GALAXY,18.5481,17.3771,16.71891,16.30875,16.06784,0.08583559
STAR,18.90212,17.83956,17.45825,17.33062,17.29042,-3.29E-06
STAR,16.50787,15.3139,14.8865,14.74076,14.70757,-4.45E-05
STAR,17.28613,16.36086,16.02538,15.89519,15.8609,7.93E-05
GALAXY,18.99146,17.07726,16.12667,15.69658,15.36008,0.08484705
GALAXY,19.00578,17.89613,17.37406,17.02465,16.81729,0.08506283
STAR,17.96859,16.45618,15.87957,15.70021,15.63861,-6.33E-05
STAR,18.14537,16.98603,16.57416,16.4543,16.40801,0.000220861
GALAXY,19.03796,17.35102,16.56406,16.19586,15.90696,0.03836075
GALAXY,19.55911,17.67387,16.70643,16.32966,16.03905,0.07696021
STAR,19.151,17.45303,16.78522,16.56231,16.45795,5.11E-05
STAR,18.76022,17.71995,17.28579,17.09315,17.00772,0.000160757
STAR,16.73108,15.34196,14.81329,14.63843,14.56427,2.93E-05
STAR,19.18309,18.28044,17.97188,17.91156,17.87715,0.00021777
STAR,17.8964,16.12725,15.40752,15.12172,14.97763,0.000417742
STAR,18.81566,17.4146,16.8651,16.67896,16.57537,5.10E-06
STAR,18.5321,17.63211,17.32061,17.21326,17.18259,0.000431994
STAR,19.52808,18.67979,18.39561,18.2954,18.216,0.000371594
STAR,17.05778,16.01044,15.69783,15.58869,15.56961,8.16E-06
STAR,15.8452,14.78328,14.48869,14.40722,14.3887,-7.60E-05
STAR,19.24702,17.71808,17.13476,16.9424,16.85483,-7.98E-05
STAR,19.33036,17.50834,16.78476,16.53942,16.40915,0.000115074
GALAXY,18.77364,17.53109,16.97743,16.6258,16.41043,0.07662232
STAR,16.59492,15.13649,14.59052,14.40143,14.34641,3.53E-05
STAR,16.37205,15.43852,15.10226,14.96795,14.92506,0.000423333
STAR,16.44267,15.35777,15.23907,15.23717,15.31003,-0.000151586
STAR,19.23675,18.29424,18.00808,17.91335,17.88959,0.000689084
STAR,18.37125,16.36699,15.60569,15.36293,15.25285,-3.10E-05
STAR,19.4854,18.1999,17.6562,17.40889,17.29086,0.000578048
STAR,19.23702,18.37381,18.06147,17.93892,17.9211,0.000937404
GALAXY,18.65073,17.0002,16.17196,15.69725,15.35611,0.08180232
STAR,19.28355,17.29447,16.52981,16.23584,16.07176,2.92E-05
